Store,TotalSales,AvgTemperature,AvgFuelPrice,Cluster
1,222402808.85,68.30678321678322,3.2196993006993004,2
2,275382440.98,68.21636363636364,3.2196993006993004,2
3,57586735.07,71.43419580419581,3.2196993006993004,0
4,299543953.38,62.25335664335664,3.216972027972028,2
5,45475688.9,69.41013986013986,3.2196993006993004,0
6,223756130.64,69.7,3.2196993006993004,2
7,81598275.14,39.72027972027972,3.2415594405594406,0
8,129951181.13,62.51398601398601,3.2196993006993004,0
9,77789218.99,67.77517482517483,3.2196993006993004,0
10,271617713.89,72.2411888111888,3.5759230769230768,1
11,193962786.8,72.48076923076923,3.2196993006993004,2
12,144287230.15,70.2627972027972,3.60641958041958,1
13,286517703.8,53.697132867132865,3.286146853146853,2
14,288999911.34,57.79097902097902,3.417608391608392,2
15,89133683.92,51.83384615384615,3.5782937062937066,1
16,74252425.4,45.03006993006993,3.2415594405594406,0
17,127782138.83,46.3872027972028,3.286146853146853,0
18,155114734.21,53.37125874125874,3.4417412587412586,0
19,206634862.1,52.295034965034965,3.5782937062937066,1
20,301397792.46,55.4513986013986,3.417608391608392,2
21,108117878.92,68.84762237762237,3.2196993006993004,0
22,147075648.57,54.89713286713287,3.4417412587412586,0
23,198750617.85,48.8051048951049,3.4417412587412586,0
24,194016021.28,54.03,3.5782937062937066,1
25,101061179.17,52.13839160839161,3.417608391608392,0
26,143416393.79,43.65825174825175,3.4417412587412586,0
27,253855916.88,57.31111888111888,3.5782937062937066,1
28,189263680.58,70.2627972027972,3.60641958041958,1
29,77141554.31,54.89713286713287,3.4417412587412586,0
30,62716885.12,68.84762237762237,3.2196993006993004,0
31,199613905.5,68.84762237762237,3.2196993006993004,2
32,166819246.16,52.747552447552444,3.2415594405594406,0
33,37160221.96,76.72818181818181,3.5759230769230768,1
34,138249763.0,58.495874125874124,3.216972027972028,0
35,131520672.08,57.31111888111888,3.417608391608392,0
36,53412214.97,71.16034965034966,3.2042027972027975,0
37,74202740.32,71.16034965034966,3.2196993006993004,0
38,55159626.42,70.2627972027972,3.60641958041958,1
39,207445542.47,70.59734265734265,3.2196993006993004,2
40,137870309.79,47.67454545454545,3.4417412587412586,0
41,181341934.89000002,48.41034965034965,3.2415594405594406,0
42,79565752.42999999,72.2411888111888,3.5759230769230768,1
43,90565435.41,68.87769230769231,3.2196993006993004,0
44,43293087.84,53.697132867132865,3.286146853146853,0
45,112395341.42,57.79097902097902,3.417608391608392,0
